filing_date,period_end,form,revenue,net_income,total_assets,total_liabilities,shareholders_equity,xbrl_source
2015-12-02,2015-10-31,10-Q,116598000000.0,3304000000.0,205144000000.0,,82630000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416915000054/wmt-20151031.xml
2016-03-30,2016-01-31,10-K,478614000000.0,14694000000.0,199581000000.0,,83611000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416916000079/wmt-20160131.xml
2016-06-03,2016-04-30,10-Q,13608000000.0,3079000000.0,198705000000.0,,77758000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416916000088/wmt-20160430.xml
2016-08-31,2016-07-31,10-Q,119405000000.0,3773000000.0,197886000000.0,,79144000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416916000119/wmt-20160731.xml
2016-12-01,2016-10-31,10-Q,117176000000.0,3034000000.0,206857000000.0,,80475000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416916000140/wmt-20161031.xml
2017-03-31,2017-01-31,10-K,481317000000.0,13643000000.0,198825000000.0,,80535000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416917000021/wmt-20170131.xml
2017-06-02,2017-04-30,10-Q,13993000000.0,160000000.0,199718000000.0,,76114000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416917000029/wmt-20170430.xml
2017-08-31,2017-07-31,10-Q,121949000000.0,2899000000.0,201566000000.0,,79046000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416917000057/wmt-20170731.xml
2017-12-01,2017-10-31,10-Q,122136000000.0,1749000000.0,209414000000.0,,78906000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416917000081/wmt-20171031.xml
2018-03-30,2018-01-31,10-K,495761000000.0,9862000000.0,204522000000.0,,80822000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416918000028/wmt-20180131.xml
2018-06-04,2018-04-30,10-Q,121630000000.0,2134000000.0,204927000000.0,,78324000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416918000054/wmt-20180430.xml
2018-09-06,2018-07-31,10-Q,127059000000.0,-861000000.0,206062000000.0,,73812000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416918000086/wmt-20180731.xml
2018-11-30,2018-10-31,10-Q,123897000000.0,1710000000.0,226583000000.0,,79469000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416918000110/wmt-20181031.xml
2019-03-28,2019-01-31,10-K,510329000000.0,6670000000.0,219295000000.0,,79634000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416919000016/wmt-20190131.xml
2019-06-07,2019-04-30,10-Q,2777000000.0,3842000000.0,234544000000.0,15100000000.0,74910000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416919000024/wmt-20190430.xml
2019-09-06,2019-07-31,10-Q,129388000000.0,3610000000.0,234861000000.0,15100000000.0,77131000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416919000064/wmtform10-qx7312019_htm.xml
2019-12-04,2019-10-31,10-Q,126981000000.0,3288000000.0,239830000000.0,15100000000.0,78307000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416919000088/wmtform10-qx103119_htm.xml
2020-03-20,2020-01-31,10-K,519926000000.0,14881000000.0,236495000000.0,15100000000.0,81552000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416920000011/wmtform10-kx1312020_htm.xml
2020-06-03,2020-04-30,10-Q,133672000000.0,3990000000.0,232892000000.0,,74110000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416920000020/wmtform10-qx4302020_htm.xml
2020-09-02,2020-07-31,10-Q,136824000000.0,6476000000.0,237382000000.0,,81197000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416920000042/wmtform10-qx7312020_htm.xml
2020-12-02,2020-10-31,10-Q,133752000000.0,5135000000.0,250863000000.0,,87504000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416920000076/wmt-20201031_htm.xml
2021-03-19,2021-01-31,10-K,555233000000.0,13510000000.0,252496000000.0,,87531000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416921000033/wmt-20210131_htm.xml
2021-06-04,2021-04-30,10-Q,137159000000.0,2730000000.0,236581000000.0,,84592000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416921000042/wmt-20210430_htm.xml
2021-09-02,2021-07-31,10-Q,139871000000.0,4276000000.0,238552000000.0,,87127000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416921000058/wmt-20210731_htm.xml
2021-12-01,2021-10-31,10-Q,139207000000.0,3105000000.0,244851000000.0,,90757000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416921000072/wmt-20211031_htm.xml
2022-03-18,,10-K,,,,,,
2022-06-03,,10-Q,,,,,,
2022-09-02,,10-Q,,,,,,
2022-12-01,,10-Q,,,,,,
2023-03-17,,10-K,,,,,,
2023-06-02,,10-Q,,,,,,
2023-09-01,,10-Q,,,,,,
2023-11-30,,10-Q,,,,,,
2024-03-15,,10-K,,,,,,
2024-06-07,,10-Q,,,,,,
2024-08-30,,10-Q,,,,,,
2024-12-06,,10-Q,,,,,,
2025-03-14,,10-K,,,,,,
