,date,Price,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd,date_y,gdp_growth,interest_rate
48,2021-01-31,223.6007080078125,5817.0,267.0,66301.0,24808.0,41493.0,2021-03-31,1.76,0.07
49,2021-04-30,228.31936645507812,5963.0,469.0,64885.0,22318.0,42567.0,2021-06-30,12.24,0.1
50,2021-07-31,239.82846069335935,6340.0,535.0,88658.0,33138.0,55520.0,2021-09-30,4.98,0.08
51,2021-10-31,297.0867614746094,6863.0,468.0,87436.0,30382.0,57054.0,2021-12-31,5.72,0.08
52,2022-01-31,230.60926818847656,7326.0,-28.0,95209.0,37078.0,58131.0,2022-03-31,4.01,0.33
53,2022-04-30,174.41171264648438,7411.0,28.0,93022.0,34146.0,58876.0,2022-06-30,2.48,1.68
54,2022-07-31,182.4215087890625,7720.0,68.0,94148.0,34050.0,60098.0,2022-09-30,2.3,3.08
55,2022-10-31,161.1776580810547,7837.0,210.0,91884.0,32533.0,59351.0,2022-12-31,1.32,4.33
56,2023-01-31,166.5109405517578,8384.0,-98.0,98849.0,40490.0,58359.0,2023-03-31,2.28,4.83
57,2023-04-30,196.64686584472656,8247.0,199.0,93541.0,36129.0,57412.0,2023-06-30,2.83,5.12
58,2023-07-31,223.05548095703125,8603.0,1267.0,92447.0,34365.0,58082.0,2023-09-30,3.24,5.33
59,2023-10-31,199.08551025390625,8720.0,1224.0,91022.0,32932.0,58090.0,2023-12-31,3.2,5.33
60,2024-01-31,278.6483459472656,9287.0,1446.0,99823.0,40177.0,59646.0,2024-03-31,2.9,5.33
61,2024-04-30,266.9521179199219,9133.0,1533.0,96180.0,36497.0,59683.0,2024-06-30,3.04,5.33
62,2024-07-31,257.28692626953125,9325.0,1429.0,92180.0,34547.0,57633.0,2024-09-30,2.72,4.83
63,2024-10-31,290.1213073730469,9444.0,1527.0,91395.0,32870.0,58525.0,2024-12-31,2.53,4.33
64,2025-01-31,340.6238098144531,9993.0,1708.0,102928.0,41755.0,61173.0,2025-03-31,1.99,4.33
65,2025-04-30,268.2845764160156,9829.0,1541.0,98610.0,37944.0,60666.0,2025-06-30,1.99,4.33
