,date,Price,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd,gdp_growth,interest_rate
30,2017-12-31,20.75666618347168,3288.0,-676.0,28655.0,23421.0,5235.0,2.99,1.41
31,2018-03-31,17.742000579833984,3409.0,-710.0,27271.0,21957.0,5315.0,3.33,1.69
32,2018-06-30,22.86333274841309,4002.0,-718.0,27910.0,23182.0,4728.0,3.3,1.91
33,2018-09-30,17.65133285522461,6824.0,311.0,29263.0,23960.0,5302.0,3.13,2.19
34,2018-12-31,22.18666648864746,7226.0,140.0,29740.0,23983.0,5757.0,2.13,2.4
35,2019-03-31,18.65733337402344,4541.0,-710.0,28913.0,23445.0,5468.0,1.93,2.42
36,2019-06-30,14.897333145141602,6350.0,-408.0,31873.0,25302.0,6570.0,2.24,2.4
37,2019-09-30,16.058000564575195,6303.0,143.0,32795.0,25913.0,6882.0,2.8,1.83
38,2019-12-31,27.8886661529541,7384.0,113.0,34309.0,26842.0,7467.0,3.35,1.55
39,2020-03-31,34.93333435058594,5985.0,16.0,37250.0,27210.0,10040.0,1.28,0.05
40,2020-06-30,71.98733520507812,6036.0,104.0,38135.0,27411.0,10724.0,-7.5,0.09
41,2020-09-30,143.00332641601562,8771.0,300.0,45691.0,28799.0,16892.0,-1.41,0.09
42,2020-12-31,235.22332763671875,10744.0,270.0,52148.0,29073.0,23075.0,-1.02,0.09
43,2021-03-31,222.6433258056641,10389.0,438.0,52972.0,29108.0,23864.0,1.76,0.07
44,2021-06-30,226.5666656494141,11958.0,1142.0,55146.0,29501.0,25645.0,12.24,0.1
45,2021-09-30,258.49334716796875,13757.0,1618.0,57834.0,29945.0,27889.0,4.98,0.08
46,2021-12-31,352.260009765625,17719.0,2326.0,62131.0,31116.0,31015.0,5.72,0.08
47,2022-03-31,359.20001220703125,18756.0,3313.0,66038.0,31091.0,34947.0,4.01,0.33
48,2022-06-30,224.47332763671875,16934.0,2259.0,68513.0,31276.0,37237.0,2.48,1.68
49,2022-09-30,265.25,21454.0,3292.0,74426.0,33723.0,40703.0,2.3,3.08
50,2022-12-31,123.18000030517578,24318.0,3719.0,82338.0,36849.0,45489.0,1.32,4.33
51,2023-03-31,207.4600067138672,23329.0,2518.0,86833.0,38005.0,48828.0,2.28,4.83
52,2023-06-30,261.7699890136719,24927.0,2703.0,90591.0,38697.0,51894.0,2.83,5.12
53,2023-09-30,250.22000122070312,23350.0,1853.0,93941.0,39723.0,54218.0,3.24,5.33
54,2023-12-31,248.47999572753903,25167.0,7925.0,106618.0,43251.0,63367.0,3.2,5.33
55,2024-03-31,175.7899932861328,21301.0,1432.0,109226.0,44119.0,65107.0,2.9,5.33
56,2024-06-30,197.8800048828125,25500.0,1400.0,112832.0,45641.0,67191.0,3.04,5.33
57,2024-09-30,261.6300048828125,25182.0,2167.0,119852.0,49212.0,70640.0,2.72,4.83
58,2024-12-31,403.8399963378906,25707.0,2131.0,122070.0,48453.0,73617.0,2.53,4.33
59,2025-03-31,259.1600036621094,19335.0,409.0,125111.0,49755.0,75356.0,1.99,4.33
60,2025-06-30,317.6600036621094,22496.0,1172.0,128567.0,50556.0,78011.0,1.99,4.33
