,date,Price,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd,date_y,gdp_growth,interest_rate
36,2018-02-28,209.1300048828125,2079.0,583.0,14973.0,6339.0,8634.0,2016-06-30,1.49,0.39
37,2018-05-31,249.27999877929688,2195.0,663.0,15163.0,6458.0,8706.0,2016-03-31,1.8,0.37
38,2018-08-31,263.510009765625,2291.0,666.0,15396.0,6534.0,8862.0,2015-12-31,2.12,0.34
39,2018-11-30,250.88999938964844,2465.0,678.0,18769.0,9407.0,9362.0,2015-09-30,2.45,0.12
40,2019-02-28,262.5,2601.0,674.0,19506.0,9634.0,9871.0,2015-06-30,3.28,0.13
41,2019-05-31,270.8999938964844,2744.0,633.0,19666.0,9734.0,9932.0,2015-03-31,3.97,0.12
42,2019-08-31,284.510009765625,2834.0,793.0,20055.0,9812.0,10243.0,2014-12-31,2.69,0.11
43,2019-11-30,309.5299987792969,2992.0,851.0,20762.0,10232.0,10530.0,2014-09-30,3.06,0.09
44,2020-02-29,345.1199951171875,3091.0,955.0,21214.0,10749.0,10465.0,2014-06-30,2.69,0.09
45,2020-05-31,386.6000061035156,3128.0,1100.0,21603.0,10722.0,10881.0,2014-03-31,1.65,0.09
46,2020-08-31,513.3900146484375,3225.0,955.0,22414.0,10701.0,11713.0,2013-12-31,3.01,0.07
47,2020-11-30,478.4700012207031,3424.0,2250.0,24284.0,11020.0,13264.0,2013-09-30,2.24,0.09
48,2021-02-28,459.6700134277344,3905.0,1261.0,24985.0,11439.0,13546.0,2013-06-30,1.52,0.09
49,2021-05-31,504.5799865722656,3835.0,1116.0,25582.0,11730.0,13852.0,2013-03-31,1.7,0.15
50,2021-08-31,663.7000122070312,3935.0,1212.0,26144.0,11730.0,14414.0,2012-12-31,1.55,0.14
51,2021-11-30,669.8499755859375,4110.0,1233.0,27241.0,12444.0,14797.0,2012-09-30,2.57,0.16
52,2022-02-28,467.6799926757813,4262.0,1266.0,25976.0,12201.0,13775.0,2012-06-30,2.4,0.16
53,2022-05-31,416.4800109863281,4386.0,1178.0,26326.0,12341.0,13985.0,2012-03-31,2.64,0.14
54,2022-08-31,373.44000244140625,4433.0,1136.0,26744.0,12371.0,14373.0,2011-12-31,1.54,0.08
55,2022-11-30,344.92999267578125,4525.0,1176.0,27165.0,13114.0,14051.0,2011-09-30,0.94,0.07
56,2023-02-28,323.95001220703125,4655.0,1247.0,26667.0,12461.0,14206.0,2011-06-30,1.74,0.07
57,2023-05-31,417.7900085449219,4816.0,1295.0,27838.0,13000.0,14838.0,2011-03-31,2.04,0.1
58,2023-08-31,559.3400268554688,4890.0,1403.0,29090.0,13314.0,15776.0,2010-12-31,2.78,0.17
59,2023-11-30,611.010009765625,5048.0,1483.0,29779.0,13261.0,16518.0,2010-09-30,3.34,0.19
60,2024-02-29,560.280029296875,5182.0,620.0,28751.0,13291.0,15460.0,2010-06-30,2.91,0.18
61,2024-05-31,444.760009765625,5309.0,1573.0,30007.0,15164.0,14843.0,2010-03-31,1.75,0.2
62,2024-08-31,574.4099731445312,5408.0,1684.0,29830.0,15285.0,14545.0,2009-12-31,0.11,0.11
63,2024-11-30,515.9299926757812,5606.0,1683.0,30230.0,16125.0,14105.0,2009-09-30,-3.13,0.12
64,2025-02-28,438.55999755859375,5714.0,1811.0,29955.0,16860.0,13095.0,2009-06-30,-3.98,0.16
65,2025-05-31,415.0899963378906,5873.0,1691.0,28107.0,16659.0,11448.0,2009-03-31,-3.23,0.15
