period_end,form,revenue,net_income,total_assets,total_liabilities,shareholders_equity,quarter,synthetic,note
2022-04-30,10-Q,140288000000.0,2103000000.0,246142000000.0,246142000000.0,6000000.0,Q1 2023,False,
2022-07-31,10-Q,151381000000.0,5147000000.0,247199000000.0,247199000000.0,6000000.0,Q2 2023,False,
2022-10-31,10-Q,151469000000.0,3132000000.0,247656000000.0,247656000000.0,6000000.0,Q3 2023,False,
2023-01-31,10-Q,-442532119000.0,-10370708000.0,244029000.0,243197000.0,57000.0,Q4 2023,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2023-04-30,10-Q,151004000000.0,1896000000.0,245053000000.0,245053000000.0,6000000.0,Q1 2024,False,
2023-07-31,10-Q,160280000000.0,8053000000.0,255121000000.0,255121000000.0,6000000.0,Q2 2024,False,
2023-10-31,10-Q,159439000000.0,643000000.0,259174000000.0,259174000000.0,7000000.0,Q3 2024,False,
2024-01-31,10-Q,-470080363000.0,-10575730000.0,247798000.0,252399000.0,57000.0,Q4 2024,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2024-04-30,10-Q,159938000000.0,5307000000.0,254054000000.0,254054000000.0,7000000.0,Q1 2025,False,
2024-07-31,10-Q,167767000000.0,4711000000.0,254440000000.0,254440000000.0,7000000.0,Q2 2025,False,
2024-10-31,10-Q,168003000000.0,4714000000.0,263399000000.0,263399000000.0,7000000.0,Q3 2025,False,
2025-01-31,10-Q,-495033462000.0,-14711843000.0,256611000.0,260823000.0,56000.0,Q4 2025,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2025-04-30,10-Q,163981000000.0,4639000000.0,262372000000.0,262372000000.0,6000000.0,Q1 2026,False,

