date,price
2022-01-31,170.87139892578125
2022-02-28,161.63308715820312
2022-03-31,170.92271423339844
2022-04-30,154.32083129882812
2022-05-31,145.91094970703125
2022-06-30,134.02947998046875
2022-07-31,159.31195068359375
2022-08-31,154.34014892578125
2022-09-30,135.66851806640625
2022-10-31,150.5312042236328
2022-11-30,145.55953979492188
2022-12-31,127.76160430908203
2023-01-31,141.88197326660156
2023-02-28,145.1712188720703
2023-03-31,162.39559936523438
2023-04-30,167.10296630859375
2023-05-31,174.79946899414062
2023-06-30,191.28829956054688
2023-07-31,193.73397827148438
2023-08-31,185.52281188964844
2023-09-30,169.07095336914062
2023-10-31,168.63645935058594
2023-11-30,187.82395935058594
2023-12-31,190.3750762939453
2024-01-31,182.33607482910156
2024-02-29,178.95497131347656
2024-03-31,169.7770538330078
2024-04-30,168.6384735107422
2024-05-31,190.59893798828125
2024-06-30,208.8112030029297
2024-07-31,220.17276000976562
2024-08-31,227.29611206054688
2024-09-30,231.26634216308594
2024-10-31,224.22911071777344
2024-11-30,235.8233184814453
2024-12-31,248.8302001953125
2025-01-31,234.5017547607422
2025-02-28,240.56887817382812
2025-03-31,220.96249389648438
2025-04-30,211.3831024169922
2025-05-31,200.05633544921875
2025-06-30,204.3592529296875
2025-07-31,206.74978637695312
2025-08-31,231.485107421875
2025-09-30,253.9116668701172
2025-10-31,269.60723876953125
2025-11-30,278.3328857421875
2025-12-31,271.3558349609375
2026-01-31,258.99884033203125
2026-02-28,263.93682861328125
2026-03-31,253.55638122558594
2026-04-30,271.1002502441406
2026-05-31,312.05999755859375
2026-06-30,297.3599853515625
