period_end,form,revenue,net_income,total_assets,total_liabilities,shareholders_equity,quarter,synthetic,note
2023-03-31,10-Q,21800000000.0,2539000000.0,86833000000.0,37598000000.0,48054000000.0,Q1 2023,False,
2023-06-30,10-Q,23418000000.0,2614000000.0,90591000000.0,38409000000.0,51130000000.0,Q2 2023,False,
,,,,,,,Q3 2023,,
2023-12-31,10-Q,22806000000.0,2183000000.0,119852000000.0,49142000000.0,69931000000.0,Q4 2023,False,
,,,,,,,Q1 2024,,
,,,,,,,Q2 2024,,
,,,,,,,Q3 2024,,
,,,,,,,Q4 2024,,
2025-03-31,10-Q,16605000000.0,420000000.0,125111000000.0,49693000000.0,74653000000.0,Q1 2025,False,
,,,,,,,Q2 2025,,
,,,,,,,Q3 2025,,
,,,,,,,Q4 2025,,
