calendar_quarter,period_end,Price,revenue,net_income,ratio assets/libailities,shareholders_equity,gdp_growth,interest_rate
Q4 2021,2021-12-31,326.0265808105469,51728000000.0,18765000000.0,1.8870766552647482,160010000000.0,5.72,0.08
Q1 2022,2022-03-31,299.4917907714844,49360000000.0,16728000000.0,1.8967487326827497,162924000000.0,4.01,0.12
Q2 2022,2022-06-30,250.06529235839844,51865000000.0,16740000000.0,1.8398571846412974,166542000000.0,2.48,0.77
Q3 2022,2022-09-30,227.24691772460935,50122000000.0,17556000000.0,1.9320581254228915,173566000000.0,2.3,2.19
Q4 2022,2022-12-31,234.6584320068359,52747000000.0,16425000000.0,2.0094809719098645,183136000000.0,1.32,3.653333333333333
Q1 2023,2023-03-31,282.80157470703125,52857000000.0,18299000000.0,2.0500418003829455,194683000000.0,2.28,4.516666666666667
Q2 2023,2023-06-30,334.7754821777344,56189000000.0,20081000000.0,2.002284292331096,206223000000.0,2.83,4.989999999999999
Q3 2023,2023-09-30,311.0622863769531,56517000000.0,22291000000.0,1.9806416641859679,220714000000.0,3.24,5.260000000000001
Q4 2023,2023-12-31,371.2091369628906,62297000000.0,21870000000.0,2.025735072538637,238268000000.0,3.2,5.33
Q1 2024,2024-03-31,416.0831604003906,61858000000.0,21939000000.0,2.0953128853467633,253152000000.0,2.9,5.33
Q2 2024,2024-06-30,442.8213806152344,64727000000.0,22036000000.0,2.1017333781998144,268477000000.0,3.04,5.33
Q3 2024,2024-09-30,427.0935668945313,65585000000.0,24667000000.0,2.2228441497726212,287723000000.0,2.72,5.263333333333333
Q4 2024,2024-12-31,419.1965637207031,69632000000.0,24108000000.0,2.3092174409501607,302695000000.0,2.53,4.6499999999999995
Q1 2025,2025-03-31,374.087158203125,70060000000.0,25824000000.0,2.3371286861377545,321891000000.0,1.99,4.33
Q2 2025,2025-06-30,496.5936584472656,76441000000.0,27233000000.0,2.2466391312553533,343479000000.0,1.99,4.33
