calendar_quarter,period_end,Price,revenue,net_income,ratio assets/libailities,shareholders_equity,gdp_growth,interest_rate
Q1 2015,2015-03-28,27.720808029174805,58010000000,13569000000,1.975928223439344,129006000000,3.97,0.11
Q2 2015,2015-06-30,28.060314178466797,49605000000,10677000000,1.852197675522465,125677000000,3.28,0.1233333333333333
Q3 2015,2015-09-26,24.7872314453125,51501000000,11124000000,1.697476683574484,119355000000,2.45,0.1366666666666667
Q4 2015,2015-12-31,23.755861282348633,75872000000,18361000000,1.7772956725670688,128267000000,2.12,0.16
Q1 2016,2016-03-31,24.731157302856445,50557000000,10516000000,1.7462361285894064,130457000000,1.8,0.36
Q2 2016,2016-06-30,21.824871063232425,42358000000,7796000000,1.7066921328485822,126541000000,1.49,0.3733333333333333
Q3 2016,2016-09-30,25.948410034179688,46852000000,9014000000,1.663001390633643,128249000000,1.81,0.3966666666666666
Q4 2016,2016-12-31,26.720701217651367,88293000000,20065000000,1.5258875822877398,140199000000,2.18,0.45
Q2 2017,2017-04-01,33.50849151611328,52896000000,11029000000,1.6689049638313793,134082000000,2.33,0.95
Q3 2017,2017-07-01,35.99922180175781,45408000000,8717000000,1.6224500347829356,132425000000,2.41,1.153333333333333
Q3 2017,2017-09-30,35.99922180175781,52579000000,10714000000,1.5555845684538612,134047000000,2.41,1.153333333333333
Q4 2017,2017-12-31,39.67070007324219,88293000000,20065000000,1.5258875822877398,140199000000,2.99,1.2033333333333334
Q1 2018,2018-03-31,39.49116134643555,61137000000,13822000000,1.527287386129397,126878000000,3.33,1.4466666666666663
Q2 2018,2018-06-30,43.73821640014648,53265000000,11519000000,1.4907149687510672,114949000000,3.3,1.7366666666666666
Q3 2018,2018-09-29,53.525428771972656,62900000000,14125000000,1.4143701320297937,107147000000,3.13,1.9233333333333331
Q4 2018,2018-12-29,37.53238677978515,84310000000,19965000000,1.4608270432753385,117892000000,2.13,2.22
Q1 2019,2019-03-30,45.39022064208984,58015000000,11561000000,1.4482971821561967,105860000000,1.93,2.4033333333333333
Q2 2019,2019-06-29,47.476837158203125,53809000000,10044000000,1.427206654176798,96456000000,2.24,2.3966666666666665
Q3 2019,2019-09-28,53.92981719970703,64040000000,13686000000,1.3648297772832099,90488000000,2.8,2.19
Q4 2019,2019-12-28,70.92037200927734,91819000000,22236000000,1.3565736179093302,89531000000,3.35,1.643333333333333
Q1 2020,2020-03-28,61.56016540527344,58313000000,11249000000,1.3241037297241451,78425000000,1.28,1.26
Q2 2020,2020-06-27,88.55219268798828,59685000000,11253000000,1.294953930025871,72282000000,-7.5,0.06
Q3 2020,2020-09-30,112.65045166015624,64698000000,12673000000,1.252714185705611,65339000000,-1.41,0.0933333333333333
Q4 2020,2020-12-26,129.2926025390625,111439000000,28755000000,1.2300802557064934,66224000000,-1.02,0.09
Q1 2021,2021-03-27,119.2003402709961,89584000000,23630000000,1.258146130308232,69178000000,1.76,0.08
Q2 2021,2021-06-26,133.87973022460938,81434000000,21744000000,1.242054526284079,64280000000,12.24,0.07
Q3 2021,2021-09-25,138.5248565673828,83360000000,20551000000,1.2191294562227348,63090000000,4.98,0.09
Q4 2021,2021-12-25,174.0901336669922,123945000000,34630000000,1.2325946860075212,71932000000,5.72,0.08
Q1 2022,2022-03-26,171.40625,97278000000,25010000000,1.2379378881110488,67399000000,4.01,0.12
Q2 2022,2022-06-25,134.40866088867188,82959000000,19442000000,1.208866219509565,58107000000,2.48,0.77
Q3 2022,2022-09-24,136.05233764648438,90146000000,20721000000,1.167741978198045,50672000000,2.3,2.19
Q4 2022,2022-12-31,128.12303161621094,117154000000,29998000000,1.1955968553892835,56727000000,1.32,3.653333333333333
Q2 2023,2023-04-01,191.82945251464844,94836000000,24160000000,1.230213109532522,62158000000,2.83,4.989999999999999
Q3 2023,2023-07-01,169.54925537109375,81797000000,19881000000,1.2193664381068845,60274000000,3.24,5.260000000000001
Q3 2023,2023-09-30,169.54925537109375,89498000000,22956000000,1.2139741148682848,62146000000,3.24,5.260000000000001
Q4 2023,2023-12-30,190.9136505126953,119575000000,33916000000,1.2651978784169726,74100000000,3.2,5.33
Q1 2024,2024-03-30,170.25735473632812,90753000000,23636000000,1.2818738911240535,74194000000,2.9,5.33
Q2 2024,2024-06-29,209.4019317626953,85777000000,21448000000,1.251819527073959,66708000000,3.04,5.33
Q3 2024,2024-09-28,231.9206390380859,94930000000,14736000000,1.1848845891633932,56950000000,2.72,5.263333333333333
Q4 2024,2024-12-28,249.5341796875,124300000000,36330000000,1.240719439506431,66758000000,2.53,4.6499999999999995
Q1 2025,2025-03-29,221.58761596679688,95359000000,24780000000,1.252597026891093,66796000000,1.99,4.33
Q2 2025,2025-06-28,204.9374084472656,94036000000,23434000000,1.2477932734835224,65830000000,1.99,4.33
